source_kernel,binary_sha,date_utc,model,quant,ctx,scenario,feature_pflash,scorer_quant,pflash_keep_ratio,pflash_alpha,pflash_min_tokens,metric,value,err,unit,encode_tps,decode_tps,pflash_in,pflash_out,wall_s,notes
k-base,eafbf962c,2026-06-12T04:12:14.230137Z,Qwen3.6-27B,q4_k_m,2048,S0,false,,,,,PPL,6.8879,0.10354,ppl,,,,,,k-base-baseline
k-base,eafbf962c,2026-06-12T04:19:25.621029Z,Qwen3.6-27B,q4_k_m,4096,S0,false,,,,,PPL,6.1976,0.06504,ppl,,,,,,k-base-baseline
k-base,eafbf962c,2026-06-12T04:33:51.425994Z,Qwen3.6-27B,q4_k_m,8192,S0,false,,,,,PPL,6.4341,0.04788,ppl,,,,,,k-base-baseline
k-base,eafbf962c,2026-06-12T04:36:07.051445Z,Qwen3.6-27B,q4_k_m,2048,S0,false,,,,,PP,412.239493,,t/s,412.239493,,,,,k-base-baseline
k-base,eafbf962c,2026-06-12T04:36:07.052075Z,Qwen3.6-27B,q4_k_m,4096,S0,false,,,,,PP,449.314094,,t/s,449.314094,,,,,k-base-baseline
k-base,eafbf962c,2026-06-12T04:36:07.052175Z,Qwen3.6-27B,q4_k_m,8192,S0,false,,,,,PP,460.956518,,t/s,460.956518,,,,,k-base-baseline
k-base,eafbf962c,2026-06-12T04:37:01.103198Z,Qwen3.6-27B,q4_k_m,2048,S0,false,,,,,TG,12.4,,t/s,271.5,12.4,,,,k-base-baseline
k-base,eafbf962c,2026-06-12T04:37:58.312421Z,Qwen3.6-27B,q4_k_m,4096,S0,false,,,,,TG,12.4,,t/s,366.3,12.4,,,,k-base-baseline
k-base,eafbf962c,2026-06-12T04:39:01.946220Z,Qwen3.6-27B,q4_k_m,8192,S0,false,,,,,TG,12.3,,t/s,420.9,12.3,,,,k-base-baseline
k-pflash,eafbf962c,,Qwen3.6-27B,q4_k_m,2048,S0,true,q8_0,0.5,0.12,1024,PPL,6.7436,0.04606,ppl,,,,,1098.2,
k-pflash,eafbf962c,,Qwen3.6-27B,q4_k_m,2048,S0,true,q4_k_m,0.5,0.12,1024,PPL,6.7436,0.04606,ppl,,,,,1096.6,
k-pflash,eafbf962c,,Qwen3.6-27B,q4_k_m,2048,S0,true,iq3_m,0.5,0.12,1024,PPL,6.7436,0.04606,ppl,,,,,1085.1,
k-pflash,eafbf962c,,Qwen3.6-27B,q4_k_m,4096,S0,true,q8_0,0.5,0.12,1024,PPL,6.6258,0.04556,ppl,,,,,1087.6,
k-pflash,eafbf962c,,Qwen3.6-27B,q4_k_m,4096,S0,true,q4_k_m,0.5,0.12,1024,PPL,6.6258,0.04556,ppl,,,,,1086.4,
k-pflash,eafbf962c,,Qwen3.6-27B,q4_k_m,4096,S0,true,iq3_m,0.5,0.12,1024,PPL,6.6258,0.04556,ppl,,,,,1085.8,
k-pflash,eafbf962c,,Qwen3.6-27B,q4_k_m,8192,S0,true,q8_0,0.5,0.12,1024,PPL,6.6878,0.04697,ppl,,,,,1103.8,
k-pflash,eafbf962c,,Qwen3.6-27B,q4_k_m,8192,S0,true,q4_k_m,0.5,0.12,1024,PPL,6.6878,0.04697,ppl,,,,,1103.8,
k-pflash,eafbf962c,,Qwen3.6-27B,q4_k_m,8192,S0,true,iq3_m,0.5,0.12,1024,PPL,6.6878,0.04697,ppl,,,,,1105.2,
k-pflash,eafbf962c,,Qwen3.6-27B,q4_k_m,2048,S0,true,q8_0,0.5,0.12,1024,TG,11.2,,t/s,235.5,11.2,1564,764,69.6,
k-pflash,eafbf962c,,Qwen3.6-27B,q4_k_m,2048,S0,true,q4_k_m,0.5,0.12,1024,TG,11.6,,t/s,235.7,11.6,1564,764,64.6,
k-pflash,eafbf962c,,Qwen3.6-27B,q4_k_m,2048,S0,true,iq3_m,0.5,0.12,1024,TG,11.4,,t/s,232.2,11.4,1564,764,65.2,
k-pflash,eafbf962c,,Qwen3.6-27B,q4_k_m,4096,S0,true,q8_0,0.5,0.12,1024,TG,11.7,,t/s,232.0,11.7,3229,1597,58.8,
k-pflash,eafbf962c,,Qwen3.6-27B,q4_k_m,4096,S0,true,q4_k_m,0.5,0.12,1024,TG,11.6,,t/s,234.9,11.6,3229,1597,59.4,
k-pflash,eafbf962c,,Qwen3.6-27B,q4_k_m,4096,S0,true,iq3_m,0.5,0.12,1024,TG,11.5,,t/s,232.4,11.5,3229,1597,59.8,
k-pflash,eafbf962c,,Qwen3.6-27B,q4_k_m,8192,S0,true,q8_0,0.5,0.12,1024,TG,11.6,,t/s,287.2,11.6,6127,3055,60.7,
k-pflash,eafbf962c,,Qwen3.6-27B,q4_k_m,8192,S0,true,q4_k_m,0.5,0.12,1024,TG,11.6,,t/s,289.6,11.6,6127,3055,61.3,
k-pflash,eafbf962c,,Qwen3.6-27B,q4_k_m,8192,S0,true,iq3_m,0.5,0.12,1024,TG,11.6,,t/s,288.0,11.6,6127,3055,61.1,
